Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date,group_key,strength_normalized,dosage_range,frequency,population
ASPIRIN; PENTAZOCINE HYDROCHLORIDE,TABLET,ORAL,325MG; EQ 12.5MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TALWIN COMPOUND,SANOFI AVENTIS US LLC,"Approved Prior to Jan 1, 1982",ASPIRIN; PENTAZOCINE HYDROCHLORIDE||325MG; EQ 12.5MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET||ORAL,325 mg; eq 12.5 mg BASE,adult: 1 capsule per dose,q4h PRN,adult
ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE,TABLET,ORAL,385MG; 30MG; 25MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,NORGESIC,BAUSCH HEALTH US LLC,"Oct 27, 1982",ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE||385MG; 30MG; 25MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET||ORAL,385 mg; 30 mg; 25 mg,adult: 1-2 tablets per dose,TID-QID PRN,adult
ASPIRIN; PRAVASTATIN SODIUM,TABLET,ORAL,81MG; 80MG,PRAVIGARD PAC (COPACKAGED),BRISTOL MYERS SQUIBB CO,"Jun 24, 2003",ASPIRIN; PRAVASTATIN SODIUM||81MG; 80MG||TABLET||ORAL,81 mg; 80 mg,adult: 1 packet/tablet daily,daily,adult
ASPIRIN,TABLET,ORAL,500MG,BAYER EXTRA STRENGTH ASPIRIN FOR MIGRAINE PAIN,BAYER HEALTHCARE LLC,"Oct 18, 2001",ASPIRIN||500MG||TABLET||ORAL,500 mg,adult: 325-650 mg per dose; pediatric: not routine,q4-6h PRN,adult
ASPIRIN; HYDROCODONE BITARTRATE,TABLET,ORAL,500MG; 5MG,VICOPRIN,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,"Sep 14, 1983",ASPIRIN; HYDROCODONE BITARTRATE||500MG; 5MG||TABLET||ORAL,500 mg; 5 mg,adult: 1-2 tablets per dose,q4-6h PRN,adult
ASPIRIN,TABLET,ORAL,500MG,BAYER EXTRA STRENGTH ASPIRIN FOR MIGRAINE PAIN,BAYER HEALTHCARE LLC,"Oct 18, 2001",ASPIRIN||500MG||TABLET||ORAL,500 mg,adult: 325-650 mg per dose; pediatric: not routine,q4-6h PRN,adult
ACETAMINOPHEN; ASPIRIN; CAFFEINE,TABLET,ORAL,250MG; 250MG; 65MG,"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",L PERRIGO CO,"Nov 26, 2001",ACETAMINOPHEN; ASPIRIN; CAFFEINE||250MG; 250MG; 65MG||TABLET||ORAL,250 mg; 250 mg; 65 mg,adult/adolescent >=12: 2 tablets per dose; max 8 tablets/day,q6h PRN,adult/adolescent >=12
ASPIRIN; PRAVASTATIN SODIUM,TABLET,ORAL,325MG; 40MG,PRAVIGARD PAC (COPACKAGED),BRISTOL MYERS SQUIBB CO,"Jun 24, 2003",ASPIRIN; PRAVASTATIN SODIUM||325MG; 40MG||TABLET||ORAL,325 mg; 40 mg,adult: 1 packet/tablet daily,daily,adult
ASPIRIN; PRAVASTATIN SODIUM,TABLET,ORAL,81MG; 20MG,PRAVIGARD PAC (COPACKAGED),BRISTOL MYERS SQUIBB CO,"Jun 24, 2003",ASPIRIN; PRAVASTATIN SODIUM||81MG; 20MG||TABLET||ORAL,81 mg; 20 mg,adult: 1 packet/tablet daily,daily,adult
ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE,CAPSULE,ORAL,150MG; 180MG; 30MG,"ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE",MIKART LLC,"Oct 26, 1990",ACETAMINOPHEN; ASPIRIN; CODEINE PHOSPHATE||150MG; 180MG; 30MG||CAPSULE||ORAL,150 mg; 180 mg; 30 mg,adult: 1-2 tablets per dose,q4h PRN,adult
HYDROCODONE BITARTRATE; IBUPROFEN,TABLET,ORAL,5MG; 200MG,HYDROCODONE BITARTRATE AND IBUPROFEN,AMNEAL PHARMACEUTICALS NY LLC,"Mar 18, 2004",HYDROCODONE BITARTRATE; IBUPROFEN||5MG; 200MG||TABLET||ORAL,5 mg; 200 mg,adult: 1 tablet per dose,q4-6h PRN,adult
DIPHENHYDRAMINE HYDROCHLORIDE; IBUPROFEN,CAPSULE,ORAL,25MG; EQ 200MG FREE ACID AND POTASSIUM SALT,IBUPROFEN AND DIPHENHYDRAMINE HYDROCHLORIDE,ONESOURCE SPECIALTY PTE LTD,"Mar 5, 2012",DIPHENHYDRAMINE HYDROCHLORIDE; IBUPROFEN||25MG; EQ 200MG FREE ACID AND POTASSIUM SALT||CAPSULE||ORAL,25 mg; eq 200 mg FREE ACID AND POTASSIUM SALT,adult/adolescent >=12: 2 capsules at bedtime,nightly PRN,adult/adolescent >=12
IBUPROFEN,SUSPENSION,ORAL,100MG/5ML,IBUPROFEN,ARISE PHARMACEUTICALS LLC,"Aug 18, 2011",IBUPROFEN||100MG/5ML||SUSPENSION||ORAL,100 mg/5 mL,adult: 200-400 mg per dose; pediatric: 5-10 mg/kg per dose,q6-8h PRN,adult/pediatric
IBUPROFEN,TABLET,ORAL,800MG,IBUPROFEN,STRIDES PHARMA INTERNATIONAL AG,"Jul 25, 1986",IBUPROFEN||800MG||TABLET||ORAL,800 mg,adult: 200-400 mg OTC or 400-800 mg Rx per dose,q4-6h PRN,adult/adolescent >=12
IBUPROFEN,TABLET,ORAL,600MG,IBUPROFEN,AUROBINDO PHARMA LTD,"May 8, 2020",IBUPROFEN||600MG||TABLET||ORAL,600 mg,adult: 200-400 mg OTC or 400-800 mg Rx per dose,q4-6h PRN,adult/adolescent >=12
IBUPROFEN; OXYCODONE HYDROCHLORIDE,TABLET,ORAL,400MG; 5MG,OXYCODONE HYDROCHLORIDE AND IBUPROFEN,BARR LABORATORIES INC,"Nov 29, 2007",IBUPROFEN; OXYCODONE HYDROCHLORIDE||400MG; 5MG||TABLET||ORAL,400 mg; 5 mg,adult: 1 tablet per dose,q4-6h PRN,adult
IBUPROFEN LYSINE,INJECTABLE,INTRAVENOUS,EQ 20MG BASE/2ML (EQ 10MG BASE/ML),NEOPROFEN,RECORDATI RARE DISEASES INC,"Apr 13, 2006",IBUPROFEN LYSINE||EQ 20MG BASE/2ML (EQ 10MG BASE/ML)||INJECTABLE||INTRAVENOUS,eq 20 mg BASE/2 mL (eq 10 mg BASE/ mL),"neonatal: 10 mg/kg, then 5 mg/kg at 24 h and 48 h",q24h x 3 doses,neonatal
CHLORPHENIRAMINE MALEATE; IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE,TABLET,ORAL,2MG; 200MG; 30MG,ADVIL ALLERGY SINUS,HALEON US HOLDINGS LLC,"Dec 19, 2002",CHLORPHENIRAMINE MALEATE; IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE||2MG; 200MG; 30MG||TABLET||ORAL,2 mg; 200 mg; 30 mg,adult/adolescent >=12: 1-2 tablets per dose,q4-6h PRN,adult/adolescent >=12
FAMOTIDINE; IBUPROFEN,TABLET,ORAL,26.6MG; 800MG,IBUPROFEN AND FAMOTIDINE,TEVA PHARMACEUTICALS USA,"Oct 29, 2021",FAMOTIDINE; IBUPROFEN||26.6MG; 800MG||TABLET||ORAL,26.6 mg; 800 mg,adult: 1 tablet per dose,TID,adult
IBUPROFEN LYSINE,INJECTABLE,INTRAVENOUS,EQ 20MG BASE/2ML (EQ 10MG BASE/ML),IBUPROFEN LYSINE,XGEN PHARMACEUTICALS DJB INC,"Mar 30, 2016",IBUPROFEN LYSINE||EQ 20MG BASE/2ML (EQ 10MG BASE/ML)||INJECTABLE||INTRAVENOUS,eq 20 mg BASE/2 mL (eq 10 mg BASE/ mL),"neonatal: 10 mg/kg, then 5 mg/kg at 24 h and 48 h",q24h x 3 doses,neonatal
IBUPROFEN,TABLET,ORAL,400MG,IBUPROFEN,PH HEALTH LTD,"Feb 1, 1988",IBUPROFEN||400MG||TABLET||ORAL,400 mg,adult: 200-400 mg OTC or 400-800 mg Rx per dose,q4-6h PRN,adult/adolescent >=12
IBUPROFEN,CAPSULE,ORAL,EQ 200MG FREE ACID AND POTASSIUM SALT,IBUPROFEN,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,"Dec 23, 2011",IBUPROFEN||EQ 200MG FREE ACID AND POTASSIUM SALT||CAPSULE||ORAL,eq 200 mg FREE ACID AND POTASSIUM SALT,adult: 200-400 mg OTC or 400-800 mg Rx per dose,q4-6h PRN,adult/adolescent >=12
IBUPROFEN,TABLET,ORAL,200MG,IBUPROFEN,DR REDDYS LABORATORIES INC,"Nov 20, 2001",IBUPROFEN||200MG||TABLET||ORAL,200 mg,adult: 200-400 mg OTC or 400-800 mg Rx per dose,q4-6h PRN,adult/adolescent >=12
IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE,SUSPENSION,ORAL,100MG/5ML; 15MG/5ML,CHILDREN'S ADVIL COLD,HALEON US HOLDINGS LLC,"Apr 18, 2002",IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE||100MG/5ML; 15MG/5ML||SUSPENSION||ORAL,100 mg/5 mL; 15 mg/5 mL,pediatric: age-based 5-10 mL per dose,q6h PRN,pediatric
ACETAMINOPHEN; IBUPROFEN,TABLET,ORAL,250MG; 125MG,ACETAMINOPHEN AND IBUPROFEN,MARKSANS PHARMA LTD,"Jul 10, 2023",ACETAMINOPHEN; IBUPROFEN||250MG; 125MG||TABLET||ORAL,250 mg; 125 mg,adult: 1-2 tablets per dose,q6h PRN,adult
IBUPROFEN; OXYCODONE HYDROCHLORIDE,TABLET,ORAL,400MG; 5MG,OXYCODONE HYDROCHLORIDE AND IBUPROFEN,ACTAVIS ELIZABETH LLC,"Jan 4, 2008",IBUPROFEN; OXYCODONE HYDROCHLORIDE||400MG; 5MG||TABLET||ORAL,400 mg; 5 mg,adult: 1 tablet per dose,q4-6h PRN,adult
IBUPROFEN,TABLET,ORAL,200MG,NUPRIN,BRISTOL MYERS PRODUCTS INC,"Feb 16, 1988",IBUPROFEN||200MG||TABLET||ORAL,200 mg,adult: 200-400 mg OTC or 400-800 mg Rx per dose,q4-6h PRN,adult/adolescent >=12
IBUPROFEN,CAPSULE,ORAL,EQ 200MG FREE ACID AND POTASSIUM SALT,IBUPROFEN,PATHEON SOFTGELS BV,"Feb 13, 2024",IBUPROFEN||EQ 200MG FREE ACID AND POTASSIUM SALT||CAPSULE||ORAL,eq 200 mg FREE ACID AND POTASSIUM SALT,adult: 200-400 mg OTC or 400-800 mg Rx per dose,q4-6h PRN,adult/adolescent >=12
IBUPROFEN,TABLET,ORAL,600MG,IBUPROFEN,SUPERPHARM CORP,"Apr 25, 1986",IBUPROFEN||600MG||TABLET||ORAL,600 mg,adult: 200-400 mg OTC or 400-800 mg Rx per dose,q4-6h PRN,adult/adolescent >=12
IBUPROFEN,SUSPENSION,ORAL,100MG/5ML,CHILDREN'S ELIXSURE,MOBERG PHARMA NORTH AMERICA LLC,"Jan 7, 2004",IBUPROFEN||100MG/5ML||SUSPENSION||ORAL,100 mg/5 mL,adult: 200-400 mg per dose; pediatric: 5-10 mg/kg per dose,q6-8h PRN,adult/pediatric
AMOXICILLIN,TABLET,ORAL,875MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,AMOXIL,US ANTIBIOTICS LLC,"Jul 10, 1998",AMOXICILLIN||875MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET||ORAL,875 mg,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN,FOR SUSPENSION,ORAL,125MG/5ML,AMOXICILLIN,HIKMA PHARMACEUTICALS,"Jun 19, 2006",AMOXICILLIN||125MG/5ML||FOR SUSPENSION||ORAL,125 mg/5 mL,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN; CLAVULANATE POTASSIUM,FOR SUSPENSION,ORAL,125MG/5ML; EQ 31.25MG BASE/5ML,AUGMENTIN '125',US ANTIBIOTICS LLC,"Aug 6, 1984",AMOXICILLIN; CLAVULANATE POTASSIUM||125MG/5ML; EQ 31.25MG BASE/5ML||FOR SUSPENSION||ORAL,125 mg/5 mL; eq 31.25 mg BASE/5 mL,adult: 500/125 mg q8h or 875/125 mg q12h; pediatric: 25-45 mg/kg/day (amoxicillin component) divided q12h,q8-12h,adult/pediatric
AMOXICILLIN; OMEPRAZOLE MAGNESIUM; RIFABUTIN,"CAPSULE, DELAYED RELEASE",ORAL,250MG; EQ 10MG BASE; 12.5MG,TALICIA,TALICIA HOLDINGS INC,"Nov 1, 2019","AMOXICILLIN; OMEPRAZOLE MAGNESIUM; RIFABUTIN||250MG; EQ 10MG BASE; 12.5MG||CAPSULE, DELAYED RELEASE||ORAL",250 mg; eq 10 mg BASE; 12.5 mg,adult: 4 capsules per dose for 14 days,q8h,adult
AMOXICILLIN,"TABLET, CHEWABLE",ORAL,125MG,AMOXICILLIN,TEVA PHARMACEUTICALS USA INC,"Dec 19, 1996","AMOXICILLIN||125MG||TABLET, CHEWABLE||ORAL",125 mg,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN,CAPSULE,ORAL,500MG,AMOXICILLIN,MICRO LABS LTD,"Jun 24, 2022",AMOXICILLIN||500MG||CAPSULE||ORAL,500 mg,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN,CAPSULE,ORAL,250MG,AMOXICILLIN,STRIDES PHARMA INTERNATIONAL AG,"Feb 25, 1988",AMOXICILLIN||250MG||CAPSULE||ORAL,250 mg,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN,FOR SUSPENSION,ORAL,50MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,AMOXIL,GLAXOSMITHKLINE,"Approved Prior to Jan 1, 1982",AMOXICILLIN||50MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||FOR SUSPENSION||ORAL,50 mg/mL,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN,FOR SUSPENSION,ORAL,200MG/5ML,AMOXICILLIN,HIKMA PHARMACEUTICALS,"Jun 19, 2006",AMOXICILLIN||200MG/5ML||FOR SUSPENSION||ORAL,200 mg/5 mL,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN,FOR SUSPENSION,ORAL,125MG/5ML,TRIMOX,APOTHECON SUB BRISTOL MYERS SQUIBB CO,"Approved Prior to Jan 1, 1982",AMOXICILLIN||125MG/5ML||FOR SUSPENSION||ORAL,125 mg/5 mL,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN,"TABLET, CHEWABLE",ORAL,250MG,AMOXICILLIN,SUN PHARMACEUTICAL INDUSTRIES LTD,"Dec 23, 1999","AMOXICILLIN||250MG||TABLET, CHEWABLE||ORAL",250 mg,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN,FOR SUSPENSION,ORAL,50MG/ML,AMOXICILLIN PEDIATRIC,TEVA PHARMACEUTICALS USA INC,"Dec 1, 1982",AMOXICILLIN||50MG/ML||FOR SUSPENSION||ORAL,50 mg/mL,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN,FOR SUSPENSION,ORAL,125MG/5ML,WYMOX,WYETH AYERST LABORATORIES,"Approved Prior to Jan 1, 1982",AMOXICILLIN||125MG/5ML||FOR SUSPENSION||ORAL,125 mg/5 mL,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN,"TABLET, FOR SUSPENSION",ORAL,400MG,AMOXICILLIN,AUROBINDO PHARMA LTD,"Jan 17, 2007","AMOXICILLIN||400MG||TABLET, FOR SUSPENSION||ORAL",400 mg,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN,FOR SUSPENSION,ORAL,125MG/5ML,AMOXICILLIN,MYLAN PHARMACEUTICALS INC,"Approved Prior to Jan 1, 1982",AMOXICILLIN||125MG/5ML||FOR SUSPENSION||ORAL,125 mg/5 mL,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN; CLAVULANATE POTASSIUM,TABLET,ORAL,875MG; EQ 125MG BASE,AMOXICILLIN AND CLAVULANATE POTASSIUM,SUN PHARMACEUTICAL INDUSTRIES LTD,"Sep 17, 2002",AMOXICILLIN; CLAVULANATE POTASSIUM||875MG; EQ 125MG BASE||TABLET||ORAL,875 mg; eq 125 mg BASE,adult: 500/125 mg q8h or 875/125 mg q12h; pediatric: 25-45 mg/kg/day (amoxicillin component) divided q12h,q8-12h,adult/pediatric
AMOXICILLIN,"TABLET, CHEWABLE",ORAL,125MG,AMOXICILLIN,HIKMA PHARMACEUTICALS LLC,"Jun 25, 2020","AMOXICILLIN||125MG||TABLET, CHEWABLE||ORAL",125 mg,adult: 250-500 mg q8h or 500-875 mg q12h; pediatric: 20-45 mg/kg/day divided q8-12h,q8-12h,adult/pediatric
AMOXICILLIN; CLAVULANATE POTASSIUM,FOR SUSPENSION,ORAL,200MG/5ML; EQ 28.5MG BASE/5ML,AUGMENTIN '200',US ANTIBIOTICS LLC,"May 31, 1996",AMOXICILLIN; CLAVULANATE POTASSIUM||200MG/5ML; EQ 28.5MG BASE/5ML||FOR SUSPENSION||ORAL,200 mg/5 mL; eq 28.5 mg BASE/5 mL,adult: 500/125 mg q8h or 875/125 mg q12h; pediatric: 25-45 mg/kg/day (amoxicillin component) divided q12h,q8-12h,adult/pediatric
AMOXICILLIN; CLAVULANATE POTASSIUM,TABLET,ORAL,875MG; EQ 125MG BASE,AMOXICILLIN AND CLAVULANATE POTASSIUM,AUROBINDO PHARMA LTD,"Jan 20, 2012",AMOXICILLIN; CLAVULANATE POTASSIUM||875MG; EQ 125MG BASE||TABLET||ORAL,875 mg; eq 125 mg BASE,adult: 500/125 mg q8h or 875/125 mg q12h; pediatric: 25-45 mg/kg/day (amoxicillin component) divided q12h,q8-12h,adult/pediatric
AMOXICILLIN; CLAVULANATE POTASSIUM,FOR SUSPENSION,ORAL,600MG/5ML; EQ 42.9MG BASE/5ML,AUGMENTIN ES-600,US ANTIBIOTICS LLC,"Jun 22, 2001",AMOXICILLIN; CLAVULANATE POTASSIUM||600MG/5ML; EQ 42.9MG BASE/5ML||FOR SUSPENSION||ORAL,600 mg/5 mL; eq 42.9 mg BASE/5 mL,adult: 500/125 mg q8h or 875/125 mg q12h; pediatric: 25-45 mg/kg/day (amoxicillin component) divided q12h,q8-12h,adult/pediatric
METOPROLOL TARTRATE,TABLET,ORAL,50MG,METOPROLOL TARTRATE,IPCA LABORATORIES LTD,"Jun 17, 2008",METOPROLOL TARTRATE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,BID,adult
METOPROLOL TARTRATE,TABLET,ORAL,50MG,METOPROLOL TARTRATE,CHARTWELL RX SCIENCES LLC,"Mar 25, 1994",METOPROLOL TARTRATE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,BID,adult
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,YICHANG HUMANWELL PHARMACEUTICAL CO LTD,"Feb 12, 2021","METOPROLOL SUCCINATE||EQ 200MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL",eq 200 mg TARTRATE,adult: 25-200 mg daily,daily,adult
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,SANDOZ,"Mar 20, 2008","METOPROLOL SUCCINATE||EQ 200MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL",eq 200 mg TARTRATE,adult: 25-200 mg daily,daily,adult
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,ACTAVIS LABORATORIES FL INC,"Apr 15, 2010","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL",eq 100 mg TARTRATE,adult: 25-200 mg daily,daily,adult
METOPROLOL TARTRATE,TABLET,ORAL,100MG,LOPRESSOR,VALIDUS PHARMACEUTICALS LLC,"Approved Prior to Jan 1, 1982",METOPROLOL TARTRATE||100MG||TABLET||ORAL,100 mg,adult: 50-100 mg per dose,BID,adult
METOPROLOL FUMARATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 400MG TARTRATE,LOPRESSOR,NOVARTIS PHARMACEUTICALS CORP,"Dec 27, 1989","METOPROLOL FUMARATE||EQ 400MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL",eq 400 mg TARTRATE,adult: 200-400 mg daily,daily,adult
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,ZHEJIANG JUTAI PHARMACEUTICAL CO LTD,"Jul 26, 2024","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL",eq 100 mg TARTRATE,adult: 25-200 mg daily,daily,adult
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,TOPROL-XL,MELINTA THERAPEUTICS LLC A WHOLLY OWNED SUB OF CORMEDIX INC,"Feb 5, 2001","METOPROLOL SUCCINATE||EQ 25MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL",eq 25 mg TARTRATE,adult: 25-200 mg daily,daily,adult
METOPROLOL TARTRATE,TABLET,ORAL,50MG,METOPROLOL TARTRATE,TEVA PHARMACEUTICALS USA INC,"Sep 30, 1994",METOPROLOL TARTRATE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,BID,adult
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,PHARMADAX INC,"Mar 31, 2020","METOPROLOL SUCCINATE||EQ 50MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL",eq 50 mg TARTRATE,adult: 25-200 mg daily,daily,adult
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,NESHER PHARMACEUTICALS USA LLC,"May 18, 2007","METOPROLOL SUCCINATE||EQ 100MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL",eq 100 mg TARTRATE,adult: 25-200 mg daily,daily,adult
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,HETERO LABS LTD UNIT III,"Nov 6, 2020","METOPROLOL SUCCINATE||EQ 50MG TARTRATE||TABLET, EXTENDED RELEASE||ORAL",eq 50 mg TARTRATE,adult: 25-200 mg daily,daily,adult
METOPROLOL TARTRATE,TABLET,ORAL,50MG,METOPROLOL TARTRATE,WATSON LABORATORIES INC,"May 27, 1994",METOPROLOL TARTRATE||50MG||TABLET||ORAL,50 mg,adult: 50-100 mg per dose,BID,adult
