Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,AUROBINDO PHARMA LTD,"Mar 17, 2017"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,MUCINEX DM,RB HEALTH US LLC,"Apr 29, 2004"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,MUCINEX DM,RB HEALTH US LLC,"Apr 29, 2004"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN; NAPROXEN SODIUM,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG; 110MG,MUCINEX 12HR COLD & FEVER MULTI-SYMPTOM,RB HEALTH US LLC,"Dec 22, 2025"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,"Jul 11, 2018"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,AUROBINDO PHARMA LTD,"Oct 21, 2019"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,DR REDDYS LABORATORIES LTD,"Mar 15, 2022"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,GRANULES INDIA LTD,"May 8, 2020"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,GUARDIAN DRUG CO,"Sep 6, 2017"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,MARKSANS PHARMA LTD,"Aug 21, 2023"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,OHM LABORATORIES INC,"Jul 16, 2018"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,PERRIGO R AND D CO,"Nov 23, 2011"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"Sep 3, 2015"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,"Jul 11, 2018"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,AUROBINDO PHARMA LTD,"Oct 21, 2019"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,DR REDDYS LABORATORIES LTD,"Mar 15, 2022"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,GRANULES INDIA LTD,"May 8, 2020"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,GUARDIAN DRUG CO,"Sep 6, 2017"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,MARKSANS PHARMA LTD,"Aug 21, 2023"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,OHM LABORATORIES INC,"Jul 16, 2018"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,PERRIGO R AND D CO,"Nov 5, 2020"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,MUCINEX,RB HEALTH US LLC,"Jul 12, 2002"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,MUCINEX,RB HEALTH US LLC,"Dec 18, 2002"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"May 27, 2015"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,"Mar 25, 2020"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,DR REDDYS LABORATORIES LTD,"Dec 29, 2017"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,L PERRIGO CO,"Feb 1, 2022"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES INC,"Apr 28, 2020"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,"Mar 25, 2020"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,DR REDDYS LABORATORIES LTD,"Dec 29, 2017"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,L PERRIGO CO,"Feb 1, 2022"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES INC,"Apr 28, 2020"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"May 27, 2015"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,MUCINEX D,RB HEALTH US LLC,"Jun 22, 2004"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,MUCINEX D,RB HEALTH US LLC,"Jun 22, 2004"
GUAIFENESIN; HYDROCODONE BITARTRATE,SOLUTION,ORAL,200MG/5ML; 2.5MG/5ML,FLOWTUSS,CHARTWELL RX SCIENCES LLC,"May 14, 2015"
GUAIFENESIN; HYDROCODONE BITARTRATE,SOLUTION,ORAL,200MG/5ML; 2.5MG/5ML,OBREDON,SOVEREIGN PHARMACEUTICALS LLC,"Nov 14, 2014"
GUAIFENESIN; HYDROCODONE BITARTRATE,TABLET,ORAL,400MG; 5MG,XTRELUS,ECI PHARMACEUTICALS LLC,"Apr 25, 2018"
GUAIFENESIN; HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE,SOLUTION,ORAL,200MG/5ML; 2.5MG/5ML; 30MG/5ML,HYCOFENIX,CHARTWELL RX SCIENCES LLC,"May 14, 2015"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,GRANULES INDIA LTD,"Aug 22, 2022"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,GRANULES INDIA LTD,"Aug 22, 2022"
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,25MG; 50MG,LOPRESSOR HCT,VALIDUS PHARMACEUTICALS LLC,"Dec 31, 1984"
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,25MG; 50MG,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,ALEMBIC PHARMACEUTICALS LTD,"Nov 6, 2013"
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,25MG; 50MG,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,MYLAN PHARMACEUTICALS,"Aug 20, 2004"
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,25MG; 50MG,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,SENORES PHARMACEUTICALS INC,"Jan 8, 2025"
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,25MG; 100MG,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,ALEMBIC PHARMACEUTICALS LTD,"Nov 6, 2013"
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,25MG; 100MG,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,MYLAN PHARMACEUTICALS,"Aug 20, 2004"
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,25MG; 100MG,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,SENORES PHARMACEUTICALS INC,"Jan 8, 2025"
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,50MG; 100MG,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,ALEMBIC PHARMACEUTICALS LTD,"Nov 6, 2013"
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,50MG; 100MG,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,MYLAN PHARMACEUTICALS,"Aug 20, 2004"
METOPROLOL SUCCINATE,"CAPSULE, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,KAPSPARGO SPRINKLE,SUN PHARMA INDUSTRIES LTD,"Jan 26, 2018"
METOPROLOL SUCCINATE,"CAPSULE, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,KAPSPARGO SPRINKLE,SUN PHARMA INDUSTRIES LTD,"Jan 26, 2018"
METOPROLOL SUCCINATE,"CAPSULE, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,KAPSPARGO SPRINKLE,SUN PHARMA INDUSTRIES LTD,"Jan 26, 2018"
METOPROLOL SUCCINATE,"CAPSULE, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,KAPSPARGO SPRINKLE,SUN PHARMA INDUSTRIES LTD,"Jan 26, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,ACTAVIS ELIZABETH LLC,"Nov 25, 2016"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,ALKEM LABORATORIES LTD,"Nov 25, 2020"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,DR REDDYS LABORATORIES LTD,"Aug 1, 2012"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,GRANULES INDIA LTD,"Jun 12, 2023"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,HETERO LABS LTD UNIT III,"Nov 6, 2020"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,IPCA LABORATORIES LTD,"Jun 25, 2025"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,MYLAN PHARMACEUTICALS INC,"Dec 15, 2011"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,NOVAST LABORATORIES LTD,"Feb 6, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,PHARMADAX INC,"Mar 31, 2020"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,SUNSHINE LAKE PHARMA CO LTD,"May 23, 2024"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,VISUM PHARMACEUTICAL CO LTD,"Dec 19, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,WOCKHARDT BIO AG,"Jul 22, 2010"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,YICHANG HUMANWELL PHARMACEUTICAL CO LTD,"Aug 1, 2022"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,METOPROLOL SUCCINATE,ZYDUS PHARMACEUTICALS USA INC,"Mar 23, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,ACTAVIS ELIZABETH LLC,"Nov 25, 2016"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,ACTAVIS LABORATORIES FL INC,"Aug 3, 2009"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,ALKEM LABORATORIES LTD,"Nov 25, 2020"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,CIPLA LTD,"Oct 26, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,DR REDDYS LABORATORIES LTD,"Aug 1, 2012"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,GRANULES INDIA LTD,"Jun 12, 2023"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,HETERO LABS LTD UNIT III,"Nov 6, 2020"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,IPCA LABORATORIES LTD,"Jun 25, 2025"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,MYLAN PHARMACEUTICALS INC,"Dec 15, 2011"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,NOVAST LABORATORIES LTD,"Feb 6, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,PHARMADAX INC,"Mar 31, 2020"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,SUNSHINE LAKE PHARMA CO LTD,"Sep 26, 2022"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,VISUM PHARMACEUTICAL CO LTD,"Dec 19, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,WOCKHARDT BIO AG,"Jul 22, 2010"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,YICHANG HUMANWELL PHARMACEUTICAL CO LTD,"Nov 8, 2021"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,ZHEJIANG JUTAI PHARMACEUTICAL CO LTD,"Jul 26, 2024"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,METOPROLOL SUCCINATE,ZYDUS PHARMACEUTICALS USA INC,"Mar 23, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,ACTAVIS ELIZABETH LLC,"Nov 25, 2016"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,ALKEM LABORATORIES LTD,"Nov 25, 2020"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,CIPLA LTD,"Oct 26, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,DOCTOR REDDYS LABORATORIES LTD,"Aug 15, 2012"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,GRANULES INDIA LTD,"Jun 12, 2023"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,HETERO LABS LTD UNIT III,"Nov 6, 2020"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,IPCA LABORATORIES LTD,"Jun 25, 2025"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,MYLAN PHARMACEUTICALS INC,"Dec 15, 2011"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,NOVAST LABORATORIES LTD,"Feb 6, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,PHARMADAX INC,"Mar 30, 2020"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,SUNSHINE LAKE PHARMA CO LTD,"Sep 26, 2022"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,VISUM PHARMACEUTICAL CO LTD,"Dec 19, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,WOCKHARDT BIO AG,"Jul 22, 2010"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,ZHEJIANG JUTAI PHARMACEUTICAL CO LTD,"Jul 26, 2024"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,ZYDUS PHARMACEUTICALS USA INC,"Mar 23, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,ACTAVIS ELIZABETH LLC,"Nov 25, 2016"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,ALKEM LABORATORIES LTD,"Nov 25, 2020"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,CIPLA LTD,"Oct 26, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,DOCTOR REDDYS LABORATORIES LTD,"Aug 15, 2012"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,GRANULES INDIA LTD,"Jun 12, 2023"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,HETERO LABS LTD UNIT III,"Nov 6, 2020"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,IPCA LABORATORIES LTD,"Jun 25, 2025"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,MYLAN PHARMACEUTICALS INC,"Dec 15, 2011"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,NOVAST LABORATORIES LTD,"Feb 6, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,PHARMADAX INC,"Mar 30, 2020"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,SUNSHINE LAKE PHARMA CO LTD,"Sep 26, 2022"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,VISUM PHARMACEUTICAL CO LTD,"Dec 19, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,WOCKHARDT BIO AG,"Jul 22, 2010"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,METOPROLOL SUCCINATE,YICHANG HUMANWELL PHARMACEUTICAL CO LTD,"Feb 12, 2021"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,YICHANG HUMANWELL PHARMACEUTICAL CO LTD,"Feb 12, 2021"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,ZHEJIANG JUTAI PHARMACEUTICAL CO LTD,"Jul 26, 2024"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,METOPROLOL SUCCINATE,ZYDUS PHARMACEUTICALS USA INC,"Mar 23, 2018"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 25MG TARTRATE,TOPROL-XL,MELINTA THERAPEUTICS LLC A WHOLLY OWNED SUB OF CORMEDIX INC,"Feb 5, 2001"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 50MG TARTRATE,TOPROL-XL,MELINTA THERAPEUTICS LLC A WHOLLY OWNED SUB OF CORMEDIX INC,"Jan 10, 1992"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 100MG TARTRATE,TOPROL-XL,MELINTA THERAPEUTICS LLC A WHOLLY OWNED SUB OF CORMEDIX INC,"Jan 10, 1992"
METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,EQ 200MG TARTRATE,TOPROL-XL,MELINTA THERAPEUTICS LLC A WHOLLY OWNED SUB OF CORMEDIX INC,"Jan 10, 1992"
METOPROLOL TARTRATE,INJECTABLE,INJECTION,1MG/ML,METOPROLOL TARTRATE,BAXTER HEALTHCARE CORP,"Apr 29, 2013"
