Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date,group_key
ASPIRIN; METHOCARBAMOL,TABLET,ORAL,325MG; 400MG,METHOCARBAMOL AND ASPIRIN,JEROME STEVENS PHARMACEUTICALS INC,"Jan 31, 1995",ASPIRIN; METHOCARBAMOL||325MG; 400MG||TABLET||ORAL
ASPIRIN; DIPYRIDAMOLE,"CAPSULE, EXTENDED RELEASE",ORAL,25MG; 200MG,ASPIRIN AND DIPYRIDAMOLE,ANI PHARMACEUTICALS INC,"Jan 18, 2017","ASPIRIN; DIPYRIDAMOLE||25MG; 200MG||CAPSULE, EXTENDED RELEASE||ORAL"
ASPIRIN; DIPYRIDAMOLE,"CAPSULE, EXTENDED RELEASE",ORAL,25MG; 200MG,ASPIRIN AND DIPYRIDAMOLE,PH HEALTH LTD,"Jan 18, 2017","ASPIRIN; DIPYRIDAMOLE||25MG; 200MG||CAPSULE, EXTENDED RELEASE||ORAL"
ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE,TABLET,ORAL,325MG; 4.5MG; 0.38MG,OXYCODONE AND ASPIRIN,ANI PHARMACEUTICALS INC,"Feb 27, 1998",ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE||325MG; 4.5MG; 0.38MG||TABLET||ORAL
ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,CAPSULE,ORAL,325MG; 50MG; 40MG; 30MG,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",LGM PHARMA SOLUTIONS LLC,"Nov 30, 2001",ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE||325MG; 50MG; 40MG; 30MG||CAPSULE||ORAL
ASPIRIN; BUTALBITAL,TABLET,ORAL,650MG; 50MG,AXOTAL,SAVAGE LABORATORIES INC DIV ALTANA INC,"Oct 13, 1983",ASPIRIN; BUTALBITAL||650MG; 50MG||TABLET||ORAL
ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,CAPSULE,ORAL,325MG; 50MG; 40MG; 30MG,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",WATSON LABORATORIES INC,"Aug 31, 1995",ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE||325MG; 50MG; 40MG; 30MG||CAPSULE||ORAL
ASPIRIN,"TABLET, EXTENDED RELEASE",ORAL,650MG,8-HOUR BAYER,BAYER HEALTHCARE LLC,"Approved Prior to Jan 1, 1982","ASPIRIN||650MG||TABLET, EXTENDED RELEASE||ORAL"
ASPIRIN; CARISOPRODOL,TABLET,ORAL,325MG; 200MG,CARISOPRODOL AND ASPIRIN,OXFORD PHARMACEUTICALS LLC,"Dec 10, 1997",ASPIRIN; CARISOPRODOL||325MG; 200MG||TABLET||ORAL
ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE,CAPSULE,ORAL,389MG; 32.4MG; 65MG,PROPOXYPHENE HYDROCHLORIDE W/ ASPIRIN AND CAFFEINE,WATSON LABORATORIES INC,"Sep 3, 1984",ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE||389MG; 32.4MG; 65MG||CAPSULE||ORAL
ASPIRIN; DIPYRIDAMOLE,"CAPSULE, EXTENDED RELEASE",ORAL,25MG; 200MG,ASPIRIN AND DIPYRIDAMOLE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Aug 21, 2018","ASPIRIN; DIPYRIDAMOLE||25MG; 200MG||CAPSULE, EXTENDED RELEASE||ORAL"
ASPIRIN; DIPYRIDAMOLE,"CAPSULE, EXTENDED RELEASE",ORAL,25MG; 200MG,ASPIRIN AND DIPYRIDAMOLE,CHARTWELL MOLECULAR HOLDINGS LLC,"Mar 20, 2019","ASPIRIN; DIPYRIDAMOLE||25MG; 200MG||CAPSULE, EXTENDED RELEASE||ORAL"
ASPIRIN; DIPYRIDAMOLE,"CAPSULE, EXTENDED RELEASE",ORAL,25MG; 200MG,ASPIRIN AND DIPYRIDAMOLE,DR REDDYS LABORATORIES LTD,"Oct 10, 2018","ASPIRIN; DIPYRIDAMOLE||25MG; 200MG||CAPSULE, EXTENDED RELEASE||ORAL"
ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE,TABLET,ORAL,385MG; 30MG; 25MG,ORPHENGESIC,GALT PHARMACEUTICALS LLC,"May 29, 1998",ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE||385MG; 30MG; 25MG||TABLET||ORAL
ASPIRIN; BUTALBITAL; CAFFEINE,TABLET,ORAL,325MG; 50MG; 40MG,"BUTALBITAL, ASPIRIN AND CAFFEINE",ACTAVIS ELIZABETH LLC,"Aug 23, 1983",ASPIRIN; BUTALBITAL; CAFFEINE||325MG; 50MG; 40MG||TABLET||ORAL
ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE,TABLET,ORAL,325MG; 4.5MG; 0.38MG,OXYCODONE AND ASPIRIN,SUN PHARMACEUTICAL INDUSTRIES INC,"Jul 17, 1998",ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE||325MG; 4.5MG; 0.38MG||TABLET||ORAL
ASPIRIN,CAPSULE,ORAL,81MG,VAZALORE,PLX PHARMA INC,"Feb 26, 2021",ASPIRIN||81MG||CAPSULE||ORAL
ACETAMINOPHEN; ASPIRIN; CAFFEINE,TABLET,ORAL,250MG; 250MG; 65MG,EXCEDRIN (MIGRAINE RELIEF),HALEON US HOLDINGS LLC,"Jan 14, 1998",ACETAMINOPHEN; ASPIRIN; CAFFEINE||250MG; 250MG; 65MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,600MG,IBUPROFEN,PUREPAC PHARMACEUTICAL CO,"Sep 19, 1986",IBUPROFEN||600MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,600MG,IBUPROFEN,SHANDONG XINHUA PHARMACEUTICAL CO LTD,"Nov 23, 2016",IBUPROFEN||600MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,800MG,IBUPROFEN,AMNEAL PHARMACEUTICALS NY LLC,"Oct 13, 1987",IBUPROFEN||800MG||TABLET||ORAL
IBUPROFEN,CAPSULE,ORAL,200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,MIDOL,BAYER HEALTHCARE LLC,"Sep 2, 1987",IBUPROFEN||200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||CAPSULE||ORAL
IBUPROFEN,SOLUTION,INTRAVENOUS,800MG/200ML (4MG/ML),CALDOLOR,CUMBERLAND PHARMACEUTICALS INC,"Jan 25, 2019",IBUPROFEN||800MG/200ML (4MG/ML)||SOLUTION||INTRAVENOUS
IBUPROFEN,TABLET,ORAL,200MG,IBUPROFEN,STRIDES PHARMA INTERNATIONAL AG,"May 8, 1987",IBUPROFEN||200MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,200MG,IBUPROFEN,SANDOZ INC,"Dec 15, 1995",IBUPROFEN||200MG||TABLET||ORAL
IBUPROFEN,SUSPENSION/DROPS,ORAL,50MG/1.25ML,INFANT'S ADVIL,HALEON US HOLDINGS LLC,"Jan 12, 2000",IBUPROFEN||50MG/1.25ML||SUSPENSION/DROPS||ORAL
IBUPROFEN,TABLET,ORAL,200MG,IBUPROFEN,LNK INTERNATIONAL INC,"Mar 1, 1999",IBUPROFEN||200MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,300MG,IBUPROFEN,LEINER HEALTH PRODUCTS INC,"Oct 15, 1986",IBUPROFEN||300MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,200MG,IBUPROFEN,OHM CORP,"Jul 15, 1986",IBUPROFEN||200MG||TABLET||ORAL
HYDROCODONE BITARTRATE; IBUPROFEN,TABLET,ORAL,10MG; 200MG,HYDROCODONE BITARTRATE AND IBUPROFEN,STRIDES PHARMA GLOBAL PTE LTD,"Nov 6, 2006",HYDROCODONE BITARTRATE; IBUPROFEN||10MG; 200MG||TABLET||ORAL
IBUPROFEN,SUSPENSION/DROPS,ORAL,40MG/ML,IBUPROFEN,L PERRIGO CO,"Dec 16, 1998",IBUPROFEN||40MG/ML||SUSPENSION/DROPS||ORAL
IBUPROFEN,TABLET,ORAL,400MG,IBUPROFEN,PUREPAC PHARMACEUTICAL CO,"Sep 19, 1986",IBUPROFEN||400MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,800MG,IBUPROFEN,HALSEY DRUG CO INC,"Feb 5, 1988",IBUPROFEN||800MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,200MG,IBUPROFEN,ANI PHARMACEUTICALS INC,"Dec 19, 1991",IBUPROFEN||200MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,200MG,IBUPROFEN,GRANULES INDIA LTD,"Oct 7, 2016",IBUPROFEN||200MG||TABLET||ORAL
IBUPROFEN,SUSPENSION,ORAL,100MG/5ML,IBUPROFEN,AUROBINDO PHARMA LTD,"Feb 16, 2018",IBUPROFEN||100MG/5ML||SUSPENSION||ORAL
IBUPROFEN,TABLET,ORAL,200MG,IBUPROFEN,STRIDES PHARMA GLOBAL PTE LTD,"Mar 28, 2011",IBUPROFEN||200MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,200MG,IBUPROFEN,PH HEALTH LTD,"Jan 10, 1989",IBUPROFEN||200MG||TABLET||ORAL
HYDROCODONE BITARTRATE; IBUPROFEN,TABLET,ORAL,5MG; 200MG,HYDROCODONE BITARTRATE AND IBUPROFEN,ANI PHARMACEUTICALS INC,"Jun 23, 2010",HYDROCODONE BITARTRATE; IBUPROFEN||5MG; 200MG||TABLET||ORAL
IBUPROFEN,CAPSULE,ORAL,EQ 200MG FREE ACID AND POTASSIUM SALT,IBUPROFEN,MARKSANS PHARMA LTD,"Jun 26, 2009",IBUPROFEN||EQ 200MG FREE ACID AND POTASSIUM SALT||CAPSULE||ORAL
IBUPROFEN,TABLET,ORAL,400MG,IBUPROFEN,DR REDDYS LABORATORIES INC,"Oct 31, 2001",IBUPROFEN||400MG||TABLET||ORAL
ACETAMINOPHEN; IBUPROFEN,TABLET,ORAL,250MG; 125MG,ACETAMINOPHEN AND IBUPROFEN,BIONPHARMA INC,"Aug 1, 2023",ACETAMINOPHEN; IBUPROFEN||250MG; 125MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,800MG,IBUPROFEN,WATSON LABORATORIES INC,"Jul 2, 1987",IBUPROFEN||800MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,800MG,IBUPROFEN,GRANULES INDIA LTD,"Sep 15, 2015",IBUPROFEN||800MG||TABLET||ORAL
HYDROCODONE BITARTRATE; IBUPROFEN,TABLET,ORAL,7.5MG; 200MG,HYDROCODONE BITARTRATE AND IBUPROFEN,AMNEAL PHARMACEUTICALS NY LLC,"Oct 12, 2004",HYDROCODONE BITARTRATE; IBUPROFEN||7.5MG; 200MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,200MG,IBUPROFEN,DR REDDYS LABORATORIES INC,"Nov 20, 2001",IBUPROFEN||200MG||TABLET||ORAL
CHLORPHENIRAMINE MALEATE; IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE,SUSPENSION,ORAL,1MG/5ML; 100MG/5ML; 15MG/5ML,CHILDREN'S ADVIL ALLERGY SINUS,HALEON US HOLDINGS LLC,"Feb 24, 2004",CHLORPHENIRAMINE MALEATE; IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE||1MG/5ML; 100MG/5ML; 15MG/5ML||SUSPENSION||ORAL
IBUPROFEN,TABLET,ORAL,600MG,IBUPROFEN,DR REDDYS LABORATORIES INC,"Nov 14, 2001",IBUPROFEN||600MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,600MG,IBUPROFEN,YICHANG HUMANWELL PHARMACEUTICAL CO LTD,"Mar 30, 2022",IBUPROFEN||600MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,200MG,IBUPROFEN,ADAPTIS PHARMA PRIVATE LTD,"Jul 1, 1988",IBUPROFEN||200MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,200MG,IBUPROFEN,TEVA PHARMACEUTICALS USA INC,"May 29, 1992",IBUPROFEN||200MG||TABLET||ORAL
IBUPROFEN,SUSPENSION,ORAL,100MG/5ML,IBU,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,"Dec 18, 1989",IBUPROFEN||100MG/5ML||SUSPENSION||ORAL
IBUPROFEN,SUSPENSION,ORAL,100MG/5ML,IBUPROFEN,PAI HOLDINGS LLC DBA PHARMACEUTICAL ASSOCIATES INC,"Nov 3, 2016",IBUPROFEN||100MG/5ML||SUSPENSION||ORAL
IBUPROFEN,TABLET,ORAL,800MG,IBUPROFEN,DR REDDYS LABORATORIES INC,"Oct 31, 2001",IBUPROFEN||800MG||TABLET||ORAL
DIPHENHYDRAMINE HYDROCHLORIDE; IBUPROFEN,CAPSULE,ORAL,25MG; EQ 200MG FREE ACID AND POTASSIUM SALT,ADVIL PM,HALEON US HOLDINGS LLC,"Dec 21, 2005",DIPHENHYDRAMINE HYDROCHLORIDE; IBUPROFEN||25MG; EQ 200MG FREE ACID AND POTASSIUM SALT||CAPSULE||ORAL
IBUPROFEN,TABLET,ORAL,600MG,IBUPROFEN,RISING PHARMA HOLDINGS INC,"Jun 12, 1986",IBUPROFEN||600MG||TABLET||ORAL
IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE,TABLET,ORAL,200MG; 30MG,IBUPROFEN AND PSEUDOEPHEDRINE HYDROCHLORIDE,CONTRACT PHARMACAL CORP,"Apr 8, 2002",IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE||200MG; 30MG||TABLET||ORAL
IBUPROFEN,TABLET,ORAL,400MG,IBUPROFEN,SANDOZ INC,"Jan 14, 1988",IBUPROFEN||400MG||TABLET||ORAL
AMOXICILLIN,"TABLET, EXTENDED RELEASE",ORAL,775MG,MOXATAG,PRAGMA PHARMACEUTICALS LLC,"Jan 23, 2008","AMOXICILLIN||775MG||TABLET, EXTENDED RELEASE||ORAL"
AMOXICILLIN; CLAVULANATE POTASSIUM,TABLET,ORAL,500MG; EQ 125MG BASE,AMOXICILLIN AND CLAVULANATE POTASSIUM,DEVA HOLDING AS,"Sep 15, 2023",AMOXICILLIN; CLAVULANATE POTASSIUM||500MG; EQ 125MG BASE||TABLET||ORAL
AMOXICILLIN,FOR SUSPENSION,ORAL,200MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,AMOXIL,US ANTIBIOTICS LLC,"Apr 15, 1999",AMOXICILLIN||200MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||FOR SUSPENSION||ORAL
AMOXICILLIN,"TABLET, FOR SUSPENSION",ORAL,200MG,AMOXICILLIN,AUROBINDO PHARMA LTD,"Jan 17, 2007","AMOXICILLIN||200MG||TABLET, FOR SUSPENSION||ORAL"
AMOXICILLIN,"TABLET, CHEWABLE",ORAL,125MG,AMOXICILLIN,SUN PHARMACEUTICAL INDUSTRIES LTD,"Dec 23, 1999","AMOXICILLIN||125MG||TABLET, CHEWABLE||ORAL"
AMOXICILLIN; CLAVULANATE POTASSIUM,FOR SUSPENSION,ORAL,600MG/5ML; EQ 42.9MG BASE/5ML,AMOXICILLIN AND CLAVULANATE POTASSIUM,SANDOZ INC,"Aug 13, 2007",AMOXICILLIN; CLAVULANATE POTASSIUM||600MG/5ML; EQ 42.9MG BASE/5ML||FOR SUSPENSION||ORAL
AMOXICILLIN; CLAVULANATE POTASSIUM,FOR SUSPENSION,ORAL,600MG/5ML; EQ 42.9MG BASE/5ML,AMOXICILLIN AND CLAVULANATE POTASSIUM,TEVA PHARMACEUTICALS USA INC,"Mar 12, 2004",AMOXICILLIN; CLAVULANATE POTASSIUM||600MG/5ML; EQ 42.9MG BASE/5ML||FOR SUSPENSION||ORAL
AMOXICILLIN; CLAVULANATE POTASSIUM,"TABLET, EXTENDED RELEASE",ORAL,1GM; EQ 62.5MG BASE,AUGMENTIN XR,US ANTIBIOTICS LLC,"Sep 25, 2002","AMOXICILLIN; CLAVULANATE POTASSIUM||1GM; EQ 62.5MG BASE||TABLET, EXTENDED RELEASE||ORAL"
AMOXICILLIN; CLAVULANATE POTASSIUM,"TABLET, CHEWABLE",ORAL,400MG; EQ 57MG BASE,AMOXICILLIN AND CLAVULANATE POTASSIUM,TEVA PHARMACEUTICALS USA INC,"Feb 9, 2005","AMOXICILLIN; CLAVULANATE POTASSIUM||400MG; EQ 57MG BASE||TABLET, CHEWABLE||ORAL"
AMOXICILLIN,FOR SUSPENSION,ORAL,200MG/5ML,AMOXICILLIN,SANDOZ INC,"Mar 26, 2007",AMOXICILLIN||200MG/5ML||FOR SUSPENSION||ORAL
AMOXICILLIN,FOR SUSPENSION,ORAL,125MG/5ML,TRIMOX,APOTHECON INC DIV BRISTOL MYERS SQUIBB,"Approved Prior to Jan 1, 1982",AMOXICILLIN||125MG/5ML||FOR SUSPENSION||ORAL
AMOXICILLIN,TABLET,ORAL,875MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,AMOXIL,US ANTIBIOTICS LLC,"Jul 10, 1998",AMOXICILLIN||875MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET||ORAL
AMOXICILLIN; CLAVULANATE POTASSIUM,FOR SUSPENSION,ORAL,400MG/5ML; EQ 57MG BASE/5ML,AUGMENTIN '400',US ANTIBIOTICS LLC,"May 31, 1996",AMOXICILLIN; CLAVULANATE POTASSIUM||400MG/5ML; EQ 57MG BASE/5ML||FOR SUSPENSION||ORAL
AMOXICILLIN,TABLET,ORAL,500MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,AMOXIL,US ANTIBIOTICS LLC,"Jul 10, 1998",AMOXICILLIN||500MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET||ORAL
AMOXICILLIN,"TABLET, CHEWABLE",ORAL,125MG,AMOXICILLIN,TEVA PHARMACEUTICALS USA INC,"Dec 19, 1996","AMOXICILLIN||125MG||TABLET, CHEWABLE||ORAL"
AMOXICILLIN,FOR SUSPENSION,ORAL,125MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,AMOXIL,GLAXOSMITHKLINE,"Approved Prior to Jan 1, 1982",AMOXICILLIN||125MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||FOR SUSPENSION||ORAL
AMOXICILLIN; CLAVULANATE POTASSIUM,FOR SUSPENSION,ORAL,400MG/5ML; EQ 57MG BASE/5ML,AMOXICILLIN AND CLAVULANATE POTASSIUM,MICRO LABS LTD INDIA,"May 21, 2021",AMOXICILLIN; CLAVULANATE POTASSIUM||400MG/5ML; EQ 57MG BASE/5ML||FOR SUSPENSION||ORAL
AMOXICILLIN; CLAVULANATE POTASSIUM,TABLET,ORAL,500MG; EQ 125MG BASE,AMOXICILLIN AND CLAVULANATE POTASSIUM,APOTEX INC,"Feb 24, 2009",AMOXICILLIN; CLAVULANATE POTASSIUM||500MG; EQ 125MG BASE||TABLET||ORAL
AMOXICILLIN; CLAVULANATE POTASSIUM,FOR SUSPENSION,ORAL,200MG/5ML; EQ 28.5MG BASE/5ML,AMOXICILLIN AND CLAVULANATE POTASSIUM,MICRO LABS LTD INDIA,"May 21, 2021",AMOXICILLIN; CLAVULANATE POTASSIUM||200MG/5ML; EQ 28.5MG BASE/5ML||FOR SUSPENSION||ORAL
AMOXICILLIN,FOR SUSPENSION,ORAL,200MG/5ML,AMOXICILLIN,TEVA PHARMACEUTICALS USA INC,"Dec 4, 2002",AMOXICILLIN||200MG/5ML||FOR SUSPENSION||ORAL
AMOXICILLIN,CAPSULE,ORAL,250MG,AMOXICILLIN,SANDOZ INC,"Sep 30, 1994",AMOXICILLIN||250MG||CAPSULE||ORAL
AMOXICILLIN; CLAVULANATE POTASSIUM,TABLET,ORAL,250MG; EQ 125MG BASE,AMOXICILLIN AND CLAVULANATE POTASSIUM,APOTEX INC,"Feb 24, 2009",AMOXICILLIN; CLAVULANATE POTASSIUM||250MG; EQ 125MG BASE||TABLET||ORAL
AMOXICILLIN,FOR SUSPENSION,ORAL,250MG/5ML,WYMOX,WYETH AYERST LABORATORIES,"Approved Prior to Jan 1, 1982",AMOXICILLIN||250MG/5ML||FOR SUSPENSION||ORAL
